ISO_A3,NAM_1,NAM_2,date,ntl_sum,ntl_mean,ntl_median,ntl_max,ntl_q05,ntl_q95,southwest_group,post_padma
BGD,Dhaka,Gopalganj,2021-02-01,1006.81396484375,0.1357889026403427,0.2799211339686207,10.245902061462402,0.027992113396862,0.7488079390271418,1,0
BGD,Sylhet,Habiganj,2021-02-01,5013.150390625,0.37874636054039,0.3385272873732853,212.1027374267578,0.0338527287373285,1.3981024900280308,0,0
BGD,Rajshahi,Jaipurhat,2021-02-01,1249.5543212890625,0.2506085634231567,0.3334470600221704,6.853095531463623,0.033344706002217,1.1610459006264815,0,0
BGD,Mymensingh,Jamalpur,2021-02-01,2787.7236328125,0.263864666223526,0.3453097405779729,8.083556175231934,0.0345309740577972,1.136455772661758,0,0
BGD,Khulna,Jashore,2021-02-01,4990.548828125,0.3795534670352936,0.3634727153036292,38.79845428466797,0.0363472715303629,1.3786695460917304,1,0
BGD,Barishal,Jhalakati,2021-02-01,397.3038024902344,0.1102207824587822,0.274132202970802,12.636993408203123,0.0274132202970802,0.7223587449007766,1,0
BGD,Khulna,Jhenaidah,2021-02-01,1581.09423828125,0.1580574512481689,0.2985421673547442,7.589726448059082,0.0298542167354744,0.9043313989822982,1,0
BGD,Chattogram,Khagrachari,2021-02-01,1083.1876220703125,0.0747208818793296,0.2683396777643592,6.493648052215576,0.0268339677764359,0.635844928625422,0,0
BGD,Khulna,Khulna,2021-02-01,4087.3818359375,0.3968082964420318,0.3012628784380142,24.64693832397461,0.0301262878438014,2.0575300609585647,1,0
BGD,Dhaka,Kishoreganj,2021-02-01,3412.479736328125,0.2601842284202575,0.3276580418904358,15.191828727722168,0.0327658041890435,1.1338451650045196,0,0
BGD,Rangpur,Kurigram,2021-02-01,1959.094482421875,0.1676133424043655,0.3056167736619098,5.716136455535889,0.0305616773661909,0.9528336976229776,0,0
BGD,Khulna,Kushtia,2021-02-01,3731.592041015625,0.444542646408081,0.2261391162890809,30.926233291625977,0.022613911628908,1.818450724584876,1,0
BGD,Chattogram,Lakshmipur,2021-02-01,1221.41552734375,0.1999372392892837,0.3259681571807922,6.816094398498535,0.0325968157180792,0.919935630430524,0,0
